player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Cheick Doucouré,cheick doucouré,,,0,,,Premier League,17200000.0,17200000.0,
Filip Jørgensen,filip jørgensen,,,0,,,Premier League,17200000.0,17200000.0,
Aaron Hickey,aaron hickey,,,0,,,Premier League,17114000.0,17114000.0,
Ladislav Krejci,ladislav krejci,,,0,,,Premier League,17114000.0,17114000.0,
Christantus Uche,christantus uche,,,0,,,Premier League,17028000.0,17028000.0,
Leandro Trossard,leandro trossard,,,0,,,Premier League,17028000.0,17028000.0,
William Osula,william osula,,,0,,,Premier League,17028000.0,17028000.0,
Loum Tchaouna,loum tchaouna,,,0,,,Premier League,16942000.0,16942000.0,
Soungoutou Magassa,soungoutou magassa,,,0,,,Premier League,16942000.0,16942000.0,
Eli Kroupi,eli kroupi,,,0,,,Premier League,16598000.0,16598000.0,
Richarlison,richarlison,,,0,,,Premier League,16598000.0,16598000.0,
Marcos Senesi,marcos senesi,,,0,,,Premier League,16426000.0,16426000.0,
Mads Hermansen,mads hermansen,,,0,,,Premier League,16254000.0,16254000.0,
Ryan Sessegnon,ryan sessegnon,,,0,,,Premier League,16254000.0,16254000.0,
Konstantinos Mavropanos,konstantinos mavropanos,,,0,,,Premier League,16168000.0,16168000.0,
Lucas Perri,lucas perri,,,0,,,Premier League,16168000.0,16168000.0,
John McGinn,john mcginn,,,0,,,Premier League,16082000.0,16082000.0,
Wilson Isidor,wilson isidor,,,0,,,Premier League,16082000.0,16082000.0,
Jadon Sancho,jadon sancho,,,0,,,Premier League,15996000.0,15996000.0,
Hannibal,hannibal,,,0,,,Premier League,15910000.0,15910000.0,
Yves Bissouma,yves bissouma,,,0,,,Premier League,15910000.0,15910000.0,
Nathan Aké,nathan aké,,,0,,,Premier League,15824000.0,15824000.0,
Jair Cunha,jair cunha,,,0,,,Premier League,15738000.0,15738000.0,
Morato,morato,,,0,,,Premier League,15652000.0,15652000.0,
Aaron Ramsdale,aaron ramsdale,,,0,,,Premier League,15566000.0,15566000.0,
Carlos Alcaraz,carlos alcaraz,,,0,,,Premier League,15480000.0,15480000.0,
Harry Wilson,harry wilson,,,0,,,Premier League,15394000.0,15394000.0,
Olivier Boscagli,olivier boscagli,,,0,,,Premier League,15394000.0,15394000.0,
Emiliano Martínez,emiliano martínez,,,0,,,Premier League,15308000.0,15308000.0,
Kristoffer Ajer,kristoffer ajer,,,0,,,Premier League,15308000.0,15308000.0,
Brenden Aaronson,brenden aaronson,,,0,,,Premier League,15222000.0,15222000.0,
Nicolás Domínguez,nicolás domínguez,,,0,,,Premier League,15222000.0,15222000.0,
Sean Longstaff,sean longstaff,,,0,,,Premier League,15222000.0,15222000.0,
Chris Richards,chris richards,,,0,,,Premier League,15136000.0,15136000.0,
Jaidon Anthony,jaidon anthony,,,0,,,Premier League,15136000.0,15136000.0,
Anton Stach,anton stach,,,0,,,Premier League,15050000.0,15050000.0,
Dominic Calvert-Lewin,dominic calvert-lewin,,,0,,,Premier League,15050000.0,15050000.0,
Angel Gomes,angel gomes,,,0,,,Premier League,14964000.0,14964000.0,
Jordan Pickford,jordan pickford,,,0,,,Premier League,14964000.0,14964000.0,
Lewis Cook,lewis cook,,,0,,,Premier League,14964000.0,14964000.0,
Noah Okafor,noah okafor,,,0,,,Premier League,14964000.0,14964000.0,
Vitaly Janelt,vitaly janelt,,,0,,,Premier League,14706000.0,14706000.0,
Jackson Tchatchoua,jackson tchatchoua,,,0,,,Premier League,14620000.0,14620000.0,
Chadi Riad,chadi riad,,,0,,,Premier League,14448000.0,14448000.0,
Nicolò Savona,nicolò savona,,,0,,,Premier League,14448000.0,14448000.0,
Gabriel Gudmundsson,gabriel gudmundsson,,,0,,,Premier League,14362000.0,14362000.0,
James Justin,james justin,,,0,,,Premier League,14362000.0,14362000.0,
Leon Bailey,leon bailey,,,0,,,Premier League,14362000.0,14362000.0,
Alisson,alisson,,,0,,,Premier League,14276000.0,14276000.0,
Ayden Heaven,ayden heaven,,,0,,,Premier League,14018000.0,14018000.0,
Kenny Tete,kenny tete,,,0,,,Premier League,14018000.0,14018000.0,
Tammy Abraham,tammy abraham,,,0,,,Premier League,14018000.0,14018000.0,
Armando Broja,armando broja,,,0,,,Premier League,13932000.0,13932000.0,
Daniel James,daniel james,,,0,,,Premier League,13932000.0,13932000.0,
Joël Piroe,joël piroe,,,0,,,Premier League,13932000.0,13932000.0,
Fábio Carvalho,fábio carvalho,,,0,,,Premier League,13846000.0,13846000.0,
Josh King,josh king,,,0,,,Premier League,13846000.0,13846000.0,
Mats Wieffer,mats wieffer,,,0,,,Premier League,13760000.0,13760000.0,
Joe Willock,joe willock,,,0,,,Premier League,13674000.0,13674000.0,
Igor Julio,igor julio,,,0,,,Premier League,13158000.0,13158000.0,
Reiss Nelson,reiss nelson,,,0,,,Premier League,13158000.0,13158000.0,
Omar Alderete,omar alderete,,,0,,,Premier League,13072000.0,13072000.0,
Toti,toti,,,0,,,Premier League,13072000.0,13072000.0,
Emiliano Buendía,emiliano buendía,,,0,,,Premier League,12986000.0,12986000.0,
Granit Xhaka,granit xhaka,,,0,,,Premier League,12728000.0,12728000.0,
